-38
-38
-38
-38
-38
-38,09769
-38,48594
-39,06364
-39,75598
-40,51764
-41,3189
-41,95324
-42,49095
-43,11296
-43,6289
-43,94512
-44,12453
-44,2184
-44,27518
-44,30954
-44,3962
-44,76355
-45,32864
-45,91357
-46,47046
-47,15005
-47,90402
-48,70298
-49,52918
-50,25907
-50,61061
-50,4982
-50,17867
-49,84247
-49,61006
-49,37625
-49,03897
-48,66036
-48,30857
-48,05088
-47,80328
-47,56902
-47,42608
-47,27095
-47,03408
-46,78196
-46,58467
-46,46525
-46,33814
-46,07516
-45,66005
-45,21486
-44,8579
-44,55574
-44,23473
-43,74687
-43,13987
-42,57788
-42,00253
-41,47719
-41,10987
-40,88597
-40,7505
-40,66854
-40,61896
-40,58896
-40,57081
-40,70737
-41,10266
-41,6451
-42,29013
-42,74569
-43,02132
-43,18895
-43,47381
-43,86867
-44,38093
-45,01362
-45,46618
-45,81804
-46,07369
-46,22646
-46,37162
-46,5458
-46,7338
-46,94818
-47,20245
-47,46738
-47,66777
-47,78901
-47,86235
-47,91945
-48,03217
-48,19373
-48,40609
-48,77826
-49,17916
-49,53176
-49,94724
-50,28575
-50,60069
-50,84423
-51,18815
-51,72046
-52,38436
-53,12882
-53,92205
-54,74477
-55,58534
-56,43671
-57,29461
-58,15645
-59,02069
-59,88638
-60,70274
-61,42028
-62,07722
-62,6975
-63,29563
-63,88033
-64,45695
-65,02868
-65,59743
-66,15915
-66,64162
-67,05347
-67,4227
-67,76609
-68,09387
-68,41222
-68,72483
-69,034
-69,34106
-69,64677
-69,92484
-70,10008
-70,20616
-70,27039
-70,30923
-70,33282
-70,34712
-70,35579
-70,36107
-70,36426
-70,36618
-70,36741
-70,36813
-70,36859
-70,36913
-70,36921
-70,36922
-70,36922
-70,36926
-70,36926
-70,36926
-70,36927
-70,36927
-70,36927
-70,36927
-70,36927
-70,36927
-70,36927
-70,3694
-70,43755
-70,5988
-70,81642
-71,06801
-71,34033
-71,62509
-71,9174
-72,21423
-72,51381
-72,81506
-73,10796
-73,31868
-73,46333
-73,56802
-73,64853
-73,71445
-73,77145
-73,82312
-73,87152
-73,91797
-73,96321
-74,00771
-74,05179
-74,09574
-74,13932
-74,18281
-74,22629
-74,26978
-74,31327
-74,35676
-74,40025
-74,44373
-74,48721
-74,53071
-74,57419
-74,61768
-74,66117
-74,70466
-74,74815
-74,79163
-74,83511
-74,87859
-74,9221
-74,92504
-74,63648
-74,11912
-73,46366
-72,73265
-71,94984
-71,14387
-70,31343
-69,61324
-69,18622
-68,92789
-68,77158
-68,70454
-68,77731
-68,94135
-69,16057
-69,41322
-69,68611
-69,97116
-70,26366
-70,56062
-70,86028
-71,16161
-71,4639
-71,76672
-72,07004
-72,37347
-72,67713
-72,98078
-73,23581
-73,40746
-73,52846
-73,61885
-73,69069
-73,7513
-73,80511
-73,85484
-73,90207
-73,9478
-73,99266
-74,03693
-74,08083
-74,1246
-74,16808
-74,21156
-74,25505
-74,29854
-74,34203
-74,38551
-74,429
-74,4725
-74,51598
-74,55949
-74,59798
-74,6257
-74,65868
-74,6958
-74,73539
-74,77652
-74,81857
-74,85453
-74,65413
-74,19009
-73,56656
-72,84651
-72,06812
-71,25439
-70,41927
-69,57123
-68,71536
-67,85479
-66,99136
-66,12617
-65,25993
-64,39302
-63,52579
-62,65824
-61,79059
-60,92278
-60,05494
-59,18709
-58,3268
-57,69498
-57,10382
-56,42675
-55,75492
